Measuring_Point,Date,Temperatur,TDS,TSS,NH3,Surfactant,Phenol,Phospate,BOD,COD,OG,NO3,DO,pH,Cl3,Fecal_Coliform,Total_Coliform,Debit
1,X/05/2011,22,81,35,0.025,740,40,0.04,3.89,18.41,"1,000",1.12,7.04,7.79,0.01,"24,000","30,000",5.01
1,X/06/2011,22.5,254,20,0.06,60,1,0.006,0.16,0.49,"1,000",0.17,6.72,7.13,0.01,"80,000","110,000",3.67
1,X/07/2011,21.5,208,61,0.04,60,1,0.06,2.81,5.76,"1,000",1.76,5.77,6.77,0.01,"160,000","160,000",4.21
1,X/09/2011,22,220,35,0.1,290,50,0.12,3.03,37.4,"1,000",1.21,6.2,7.72,0.01,"24,000","30,000",2.28
1,X/10/2011,23.7,148,32,0.025,120,70,0.07,3.04,12.8,"1,000",1.36,8.8,6.96,0.01,"50,000","110,000",7.28
1,X/06/2012,21.3,167,9,0.03,100,1,0.01,5.96,18.4,"1,000",15.4,6.6,7.38,0.01,"110,000","220,000",1.81
1,X/07/2012,21,55,2,0.03,"2,330",2,0.04,11.9,22.6,"1,000",14.1,7.96,7.89,0.01,"30,000","50,000",5.36
1,X/08/2012,22,166,5,0.4,70,1,0.04,3.34,29.9,"1,000",7.82,5.1,7.77,0.01,"110,000","110,000",4.8
1,X/09/2012,23.2,132,5,0.03,70,1,0.05,11.4,30.7,"1,000",5.42,4.83,8.2,0.01,"300,000","300,000",3.18
1,X/10/2012,21.7,132,28,0.03,70,1,0.38,14.5,45.5,10,11.7,3.75,7.85,0.01,"130,000","240,000",0.8
1,X/04/2013,21.6,80.05,61,0.17,190,5,0.06,6,22.06,"1,000",1.58,6.93,6.1,0.05,"1,500","2,100",1.98
1,X/05/2013,21.9,65.8,266,0.13,40,4.6,1.05,10,51.35,"1,000",1.4,6,8.18,0.1,"12,000","210,000",84.75
1,X/07/2013,23.8,86.86,52,0.08,20,3.4,0.09,8,23.82,"2,000",39.4,7.48,8.35,0.01,"4,600","11,000",14.64
1,X/09/2013,24.7,290.1,40,0.01,10,3.6,0.02,3.5,10.06,"1,000",3.44,5.97,8.2,0.05,460,"1,100",3.29
1,X/10/2013,23.9,82.9,18,0.01,15,3.5,0.14,3.5,8.54,"2,000",2.64,5.08,7.87,0.05,"4,300","93,000",3.52
1,X/04/2014,23.1,160,260.6,0.79,100,20,0.17,4.22,28.28,"4,310",2.69,5.2,7.1,0.62,193,421,10
1,X/05/2014,21.8,160,402.67,0.71,10,14,0.08,10.71,43.17,"6,790",2,5.5,7.8,0.1,"1,100,000","1,100,000",21.9
1,X/07/2014,23,212,69.43,0.01,80,100,0.05,15.34,45.15,"1,190",0.23,5.2,7.8,0.34,"24,000,000","1,100,000,000",2.9
1,X/09/2014,24.5,264,44.57,0.07,0,10,0,21.84,68.4,"2,410",0.37,5.1,8.1,0.12,"210,000","1,100,000",2.2
1,X/10/2014,25,156,42.37,0.05,10,4,0.11,2.17,7.46,"1,050",0.3,6.2,7.9,0.09,"180,000","1,100,000",2.8
1,X/08/2015,21.9,214.5,11.75,0.014,0.092,0.001,0.31,2,7.75,1,1.587,4.3,7.7,0.01,100,1000,1.69
1,X/09/2015,19.5,291,24.09,0.017,0.092,0.001,0.31,2.57,7.51,1,1.275,4.1,7.7,0.09,100,1000,0.89
1,X/10/2015,23.5,286.11,11.75,0.017,0.085,0.001,0.29,2,7.57,1,1.115,4.4,7.25,0.03,90,800,0.558
1,X/11/2015,20.21,225.5,11.75,0.011,0.098,0.001,0.21,2,7.57,1,1.689,4.1,7.1,0.01,100,1000,30.67
1,X/05/2016,29,66,157,0.01,11,1,0.04,9,30,200,1,3.88,7.34,0.01,"13,000","24,000",13.5
1,X/07/2016,20,76,40,0.01,5,1,0.08,25,75,200,0.3,1.29,8.56,0.41,"7,900","11,000",2.8
1,X/08/2016,29,248,44,0.02,24,1,0.2,12,46,200,0.1,6.68,6.82,0.15,"13,000","17,000",9.65
1,X/09/2016,25,84,120,0.03,10,1,0.03,6,18,200,2,7.31,8.61,0.1,"43,000","58,000",2.73
1,X/10/2016,25,70,102,0.01,10,1,0.03,5,16,200,4,7.31,6.96,0.12,"46,000","63,000",5.22
1,X/05/2017,23,77,41,0.01,103,1,0.13,7.65,30.44,200,1,4,7.78,0.12,"12,000","15,000",3.12
1,X/07/2017,24,88,21,0.01,10,1,0.03,5.77,17.46,200,0.3,6.76,8.32,0.08,"22,000","26,000",1.13
1,X/08/2017,20,94,14,0.01,10,1,0.03,4.13,19.27,200,0.1,7.2,8.03,0.14,"3,500","5,400",2.355
1,X/09/2017,26,94,20,0.01,20,1,0.04,5.19,20.02,200,0.3,5.7,8.46,0.22,"13,000","24,000",2.1
1,X/10/2017,23,97,16,0.01,20,1,0.09,8.01,35.63,200,0.5,4,8.52,0.18,"9,200","16,000",4
1,X/04/2018,22.8,97,11,0.056,3.1,1,0.043,3.3,6.1,100,1.08,6.11,7.57,0.044,"17,000","90,000",13.5
1,X/05/2018,24.8,188,9,0.003,3.1,1,0.0043,3.61,10.3,500,2.47,6.33,7.54,0.037,"22,000","33,000",5.9
1,X/07/2018,24.8,188,9,0.003,6.53,1,0.048,3.61,10.3,400,0.06,6.33,7.54,0.091,"110,000","170,000",5.9
1,X/09/2018,25.2,162,7,0.061,3.1,1,0.0063,3.76,7.29,500,0.8,6.4,8.43,0.029,"11,000","17,000",3.97
1,X/10/2018,22.6,160,7,0.033,3.1,1,0.0043,2.94,8.81,100,0.98,6.75,7.5,0.024,"17,000","30,000",1.8
1,29/X/2019,23.4,182,20,1.1,0.042,15,0.19,3,12,1660,3.4,7.75,7.64,0.06,"4,300","4,300",9.06
