Measuring_Point,Date,Temperatur,TDS,TSS,NH3,Surfactant,Phenol,Phospate,BOD,COD,OG,NO3,DO,pH,Cl3,Fecal_Coliform,Total_Coliform,Debit,Class
1,X/05/2011,22,81,35,0.025,740,40,0.04,3.89,18.41,1000,1.12,7.04,7.79,0.01,24000,30000,5.01,4
1,X/06/2011,22.5,254,20,0.06,60,1,0.006,0.16,0.49,1000,0.17,6.72,7.13,0.01,80000,110000,3.67,4
1,X/07/2011,21.5,208,61,0.04,60,1,0.06,2.81,5.76,1000,1.76,5.77,6.77,0.01,160000,160000,4.21,4
1,X/09/2011,22,220,35,0.1,290,50,0.12,3.03,37.4,1000,1.21,6.2,7.72,0.01,24000,30000,2.28,4
1,X/10/2011,23.7,148,32,0.025,120,70,0.07,3.04,12.8,1000,1.36,8.8,6.96,0.01,50000,110000,7.28,4
1,X/06/2012,21.3,167,9,0.03,100,1,0.01,5.96,18.4,1000,15.4,6.6,7.38,0.01,110000,220000,1.81,4
1,X/07/2012,21,55,2,0.03,2330,2,0.04,11.9,22.6,1000,14.1,7.96,7.89,0.01,30000,50000,5.36,4
1,X/08/2012,22,166,5,0.4,70,1,0.04,3.34,29.9,1000,7.82,5.1,7.77,0.01,110000,110000,4.8,4
1,X/09/2012,23.2,132,5,0.03,70,1,0.05,11.4,30.7,1000,5.42,4.83,8.2,0.01,300000,300000,3.18,4
1,X/10/2012,21.7,132,28,0.03,70,1,0.38,14.5,45.5,10,11.7,3.75,7.85,0.01,130000,240000,0.8,4
1,X/04/2013,21.6,80.05,61,0.17,190,5,0.06,6,22.06,1000,1.58,6.93,6.1,0.05,1500,2100,1.98,4
1,X/05/2013,21.9,65.8,266,0.13,40,4.6,1.05,10,51.35,1000,1.4,6,8.18,0.1,12000,210000,84.75,4
1,X/07/2013,23.8,86.86,52,0.08,20,3.4,0.09,8,23.82,2000,39.4,7.48,8.35,0.01,4600,11000,14.64,4
1,X/09/2013,24.7,290.1,40,0.01,10,3.6,0.02,3.5,10.06,1000,3.44,5.97,8.2,0.05,460,1100,3.29,4
1,X/10/2013,23.9,82.9,18,0.01,15,3.5,0.14,3.5,8.54,2000,2.64,5.08,7.87,0.05,4300,93000,3.52,4
1,X/04/2014,23.1,160,260.6,0.79,100,20,0.17,4.22,28.28,4310,2.69,5.2,7.1,0.62,193,421,10,4
1,X/05/2014,21.8,160,402.67,0.71,10,14,0.08,10.71,43.17,6790,2,5.5,7.8,0.1,1100000,1100000,21.9,4
1,X/07/2014,23,212,69.43,0.01,80,100,0.05,15.34,45.15,1190,0.23,5.2,7.8,0.34,24000000,1100000000,2.9,1
1,X/09/2014,24.5,264,44.57,0.07,0,10,0,21.84,68.4,2410,0.37,5.1,8.1,0.12,210000,1100000,2.2,4
1,X/10/2014,25,156,42.37,0.05,10,4,0.11,2.17,7.46,1050,0.3,6.2,7.9,0.09,180000,1100000,2.8,4
1,X/08/2015,21.9,214.5,11.75,0.014,0.092,0.001,0.31,2,7.75,1,1.587,4.3,7.7,0.01,100,1000,1.69,4
